,20150FARI-Blue Rockfish-2009,ParentProject,Project,uniqueID,StationCode,StationName,LocationCode,CommonName,FinalID,mercury_tissue_name,mercury_tissue_prep,MatrixDisplay,mercury_analyte,mercury_result_type,mercury_result,mercury_unit,SampleYear,Region,TargetLatitude,TargetLongitude,moisture_tissue_name,moisture_tissue_prep,moisture_analyte,moisture_result_type,moisture_result,moisture_unit
1,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI-Blue Rockfish-2009,20150FARI,Farallon Islands,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.040333,ug/g ww,2009,2,37.70235815,-123.0300293,NA,NA,NA,NA,NA,NA
2,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI-Olive Rockfish-2009,20150FARI,Farallon Islands,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.144333,ug/g ww,2009,2,37.70235815,-123.0300293,NA,NA,NA,NA,NA,NA
3,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC-Barred Surfperch-2009,20151SMAC,Southern Marin Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1445,ug/g ww,2009,2,37.888443,-122.720843,fillet,Skin off,"Moisture, Total",Average of Individuals,78.4275,%
4,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY-Leopard shark-2020,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,1.727778,ug/g ww,2020,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
5,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY-Pacific Common Thresher Shark-2020,20152TBAY,Tomales Bay,NA,Pacific Common Thresher Shark,Alopias vulpinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.106667,ug/g ww,2020,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
6,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY-Shiner Surfperch-2009,20152TBAY,Tomales Bay,NA,Shiner Surfperch,Cymatogaster aggregata,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1065,ug/g ww,2009,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
7,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY-White Surfperch-2009,20152TBAY,Tomales Bay,NA,White Surfperch,Phanerodon furcatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0437,ug/g ww,2009,2,38.187871,-122.927284,NA,NA,NA,NA,NA,NA
8,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC-Blue Rockfish-2009,20153NMRC,Northern Marin Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.060667,ug/g ww,2009,2,38.21325308,-122.9961377,NA,NA,NA,NA,NA,NA
9,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC-Olive Rockfish-2009,20153NMRC,Northern Marin Coast,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0423,ug/g ww,2009,2,38.21325308,-122.9961377,NA,NA,NA,NA,NA,NA
10,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201ALPELK-Largemouth Bass-2016,201ALPELK,Alpine Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.518607,ug/g ww,2016,2,37.94945,-122.62845,fillet,Skin off,"Moisture, Total",Average of Individuals,79.19,%
11,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201KENTLK-Largemouth Bass-2016,201KENTLK,Kent Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.547156,ug/g ww,2016,2,37.98381,-122.69343,fillet,Skin off,"Moisture, Total",Average of Individuals,79.472727,%
12,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PBT189-Largemouth Bass-2007,201PBT189,Bon Tempe Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.317795,ug/g ww,2007,2,37.95301,-122.60579,fillet,Skin off,"Moisture, Total",Average of Individuals L1,77.96,%
13,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,201PBT189-Largemouth Bass-2023,201PBT189,Bon Tempe Lake_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.285794,ug/g ww,2023,2,37.95301,-122.60579,fillet,Skin off,"Moisture, Total",Average of Individuals,79.037857,%
14,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,201PNL105-Largemouth Bass-2008,201PNL105,Nicasio Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.484414,ug/g ww,2008,2,38.07682,-122.73043,fillet,Skin off,"Moisture, Total",Average of Individuals L1,79.6775,%
15,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105-Largemouth Bass-2017,201PNL105,Nicasio Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.415562,ug/g ww,2017,2,38.07682,-122.73043,fillet,Skin off,"Moisture, Total",Average of Individuals,80.074545,%
16,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093-Black Crappie-2021,201PSL093,Soulejoule Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.9986,ug/g ww,2021,2,38.14734508,-122.7778744,fillet,Skin off,"Moisture, Total",Average of Individuals,80.337,%
17,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PSL093-Largemouth Bass-2007,201PSL093,Soulejoule Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.034211,ug/g ww,2007,2,38.14734508,-122.7778744,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.20875,%
18,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093-Largemouth Bass-2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,1.813638,ug/g ww,2021,2,38.14734508,-122.7778744,fillet,Skin off,"Moisture, Total",Average of Individuals,79.019286,%
19,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH-Black Perch-2009,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0605,ug/g ww,2009,2,37.501376,-122.4783349,NA,NA,NA,NA,NA,NA
20,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH-California Halibut-2020,20246PPTH,Pillar Point Harbor,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.073,ug/g ww,2020,2,37.501376,-122.4783349,NA,NA,NA,NA,NA,NA
21,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH-Shiner Surfperch-2009,20246PPTH,Pillar Point Harbor,NA,Shiner Surfperch,Cymatogaster aggregata,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.064444,ug/g ww,2009,2,37.501376,-122.4783349,NA,NA,NA,NA,NA,NA
22,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH-White Surfperch-2009,20246PPTH,Pillar Point Harbor,NA,White Surfperch,Phanerodon furcatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.067429,ug/g ww,2009,2,37.501376,-122.4783349,NA,NA,NA,NA,NA,NA
23,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC-Barred Surfperch-2009,20247HMBC,Half Moon Bay Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1986,ug/g ww,2009,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,78.446,%
24,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC-Blue Rockfish-2009,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.074333,ug/g ww,2009,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,76.691667,%
25,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2010,20247HMBC-Blue Rockfish-2010,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.07,ug/g ww,2010,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,77.2,%
26,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC-Brown Rockfish-2020,20247HMBC,Half Moon Bay Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.2209,ug/g ww,2020,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,77.948,%
27,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC-Yellowtail Rockfish-2020,20247HMBC,Half Moon Bay Coast,NA,Yellowtail Rockfish,Sebastes flavidus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0565,ug/g ww,2020,2,37.32042,-122.53064,fillet,Skin off,"Moisture, Total",Average of Individuals,76.065,%
28,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC-Blue Rockfish-2009,20248PACC,Pacifica Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.083333,ug/g ww,2009,2,37.60257954,-122.5360977,NA,NA,NA,NA,NA,NA
29,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20249SSFC-Barred Surfperch-2009,20249SSFC,San Francisco Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.1362,ug/g ww,2009,2,37.7364655,-122.5181055,NA,NA,NA,NA,NA,NA
30,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD-Largemouth Bass-2014,202LKMRCD,Lake Merced,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.389108,ug/g ww,2014,2,37.72728,-122.497184,fillet,Skin off,"Moisture, Total",Average of Individuals,79.08,%
31,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD-Rainbow Trout-2014,202LKMRCD,Lake Merced,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Mercury, Total",Average of Individuals,0.0231,ug/g ww,2014,2,37.72728,-122.497184,fillet,Skin off,"Moisture, Total",Average of Individuals,77.2,%
32,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,203TEMLAK-Largemouth Bass-2016,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.301394,ug/g ww,2016,2,37.846406,-122.230386,fillet,Skin off,"Moisture, Total",Average of Individuals,78.833636,%
33,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PDV169-Largemouth Bass-2008,204PDV169,Lake del Valle,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.539166,ug/g ww,2008,2,37.58954,-121.71446,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.7,%
34,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PDV169-Largemouth Bass-2021,204PDV169,Lake del Valle,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.595912,ug/g ww,2021,2,37.58954,-121.71446,fillet,Skin off,"Moisture, Total",Average of Individuals,78.971429,%
35,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,204PSC113-Largemouth Bass-2008,204PSC113,Shadow Cliffs Reservoir_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.379901,ug/g ww,2008,2,37.66963,-121.83581,fillet,Skin off,"Moisture, Total",Average of Individuals L1,77.365455,%
36,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204PSC113-Largemouth Bass-2021,204PSC113,Shadow Cliffs Reservoir_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.42843,ug/g ww,2021,2,37.66963,-121.83581,fillet,Skin off,"Moisture, Total",Average of Individuals,79.099375,%
37,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,204TC0114-Largemouth Bass-2007,204TC0114,Lower Crystal Springs Reserv,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.75531,ug/g ww,2007,2,37.53133,-122.3713,fillet,Skin off,"Moisture, Total",Average of Individuals L1,78.727273,%
38,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,204TC0114-Largemouth Bass-2021,204TC0114,Lower Crystal Springs Reserv,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of 350 mm Length-Adjusted,0.468369,ug/g ww,2021,2,37.53133,-122.3713,fillet,Skin off,"Moisture, Total",Average of Individuals,78.475714,%
