Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI,Farallon Islands,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.52,%,2009,2,37.70235814814816,-123.0300292592592,246.33,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI,Farallon Islands,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.12,%,2009,2,37.70235814814816,-123.0300292592592,375.83,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC,Southern Marin Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.4275,%,2009,2,37.888443,-122.720843,206.38,Passed,,8,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,74.171111,%,2020,2,38.18787100000005,-122.9272840000001,1310.11,Passed,,9,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY,Tomales Bay,NA,Pacific Common Thresher Shark,Alopias vulpinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,72.933333,%,2020,2,38.18787100000005,-122.9272840000001,1811.0,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC,Northern Marin Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.606667,%,2009,2,38.21325307692307,-122.99613769230774,255.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC,Northern Marin Coast,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.255,%,2009,2,38.21325307692307,-122.99613769230774,261.5,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201ALPELK,Alpine Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.19,%,2016,2,37.94945,-122.62845,350.45,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201KENTLK,Kent Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.472727,%,2016,2,37.98381,-122.69343,318.0,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PBT189,Bon Tempe Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.96,%,2007,2,37.95301,-122.60579,338.09,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,201PBT189,Bon Tempe Lake_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.037857,%,2023,2,37.95301,-122.60579,353.0,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,201PNL105,Nicasio Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.6775,%,2008,2,38.07682,-122.73043,336.31,Passed,,16,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105,Nicasio Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.074545,%,2017,2,38.07682,-122.73043,332.73,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.337,%,2021,2,38.14734508,-122.7778744,225.9,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Bluegill,Lepomis macrochirus,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,74.81,%,2021,2,38.14734508,-122.7778744,117.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PSL093,Soulejoule Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.20875,%,2007,2,38.14734508,-122.7778744,305.69,Passed,,16,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.019286,%,2021,2,38.14734508,-122.7778744,330.79,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,76.0,%,2021,2,38.14734508,-122.7778744,117.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Tomales Bay Mercury TMDL Monitoring FY1920,201WLKD19,Walker Creek Delta Roar Pickle A,NA,Pacific Staghorn Sculpin,Leptocottus armatus,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,77.99,%,2019,2,38.21507,-122.92558,125.0,Some review needed,"BatchVerification:VAC,VMD; QACode:H",1,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.395,%,2009,2,37.50137599999994,-122.47833485714284,209.67,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH,Pillar Point Harbor,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,74.46,%,2020,2,37.50137599999994,-122.47833485714284,632.0,Passed,,2,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.446,%,2009,2,37.32042,-122.53064,259.4,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.691667,%,2009,2,37.32042,-122.53064,303.17,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2010,20247HMBC,Half Moon Bay Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.2,%,2010,2,37.32042,-122.53064,282.25,Passed,,4,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.948,%,2020,2,37.32042,-122.53064,318.5,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20247HMBC,Half Moon Bay Coast,NA,Yellowtail Rockfish,Sebastes flavidus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.065,%,2020,2,37.32042,-122.53064,297.5,Passed,,2,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20248PACC,Pacifica Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.3,%,2009,2,37.60257953571429,-122.53609771428567,367.0,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20249SSFC,San Francisco Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.752,%,2009,2,37.7364655,-122.51810550000002,198.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD,Lake Merced,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.08,%,2014,2,37.72728,-122.497184,337.0,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Low Contam. Study 2014,202LKMRCD,Lake Merced,NA,Rainbow Trout,Oncorhynchus mykiss,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,77.2,%,2014,2,37.72728,-122.497184,298.9,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.833636,%,2016,2,37.846406,-122.230386,318.09,Passed,,11,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 EBRPD Fish Bioaccumulation Study 2013,203TEMLAK,Lake Temescal,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.578182,%,2013,2,37.846406,-122.230386,351.0,Passed,,11,0,
