UniqueIDMoisture,UniqueIDMercury,ConcatenateTest,Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,MoistureAnalyte,MoistureResultType,MoistureResult,MoistureUnit,MercuryAnalyte,MercuryResultType,MercuryResult,MercuryUnit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
20150FARI-2009-Blue Rockfish,20150FARI-2009-Blue Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI,Farallon Islands,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,76.52,%,"Mercury, Total",Average of Individuals,0.040333,ug/g ww,2009,2,37.70235815,-123.0300293,246.33,Passed,,6,0,
20150FARI-2009-Olive Rockfish,20150FARI-2009-Olive Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20150FARI,Farallon Islands,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.12,%,"Mercury, Total",Average of Individuals,0.144333,ug/g ww,2009,2,37.70235815,-123.0300293,375.83,Passed,,6,0,
20151SMAC-2009-Barred Surfperch,20151SMAC-2009-Barred Surfperch,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20151SMAC,Southern Marin Coast,NA,Barred Surfperch,Amphistichus argenteus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.4275,%,"Mercury, Total",Average of Individuals,0.1445,ug/g ww,2009,2,37.888443,-122.720843,206.38,Passed,,8,0,
20152TBAY-2020-Leopard shark,20152TBAY-2020-Leopard shark,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY,Tomales Bay,NA,Leopard shark,Triakis semifasciata,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,74.171111,%,"Mercury, Total",Average of Individuals,1.727778,ug/g ww,2020,2,38.187871,-122.927284,1310.11,Passed,,9,0,
20152TBAY-2020-Pacific Common Thresher Shark,20152TBAY-2020-Pacific Common Thresher Shark,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY,Tomales Bay,NA,Pacific Common Thresher Shark,Alopias vulpinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,72.933333,%,"Mercury, Total",Average of Individuals,0.106667,ug/g ww,2020,2,38.187871,-122.927284,1811,Passed,,3,0,
20153NMRC-2009-Blue Rockfish,20153NMRC-2009-Blue Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC,Northern Marin Coast,NA,Blue Rockfish,Sebastes mystinus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.606667,%,"Mercury, Total",Average of Individuals,0.1065,ug/g ww,2009,2,38.21325308,-122.9961377,255.67,Passed,,3,0,
20153NMRC-2009-Olive Rockfish,20153NMRC-2009-Olive Rockfish,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC,Northern Marin Coast,NA,Olive Rockfish,Sebastes serranoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,78.255,%,"Mercury, Total",Average of Individuals,0.0437,ug/g ww,2009,2,38.21325308,-122.9961377,261.5,Passed,,10,0,
201ALPELK-2016-Largemouth Bass,201ALPELK-2016-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201ALPELK,Alpine Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.19,%,"Mercury, Total",Average of Individuals,0.060667,ug/g ww,2016,2,37.94945,-122.62845,350.45,Passed,,11,0,
201KENTLK-2016-Largemouth Bass,201KENTLK-2016-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201KENTLK,Kent Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.472727,%,"Mercury, Total",Average of Individuals,0.0423,ug/g ww,2016,2,37.98381,-122.69343,318,Passed,,11,0,
201PBT189-2007-Largemouth Bass,201PBT189-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PBT189,Bon Tempe Lake_BOG,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,77.96,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.518607,ug/g ww,2007,2,37.95301,-122.60579,338.09,Passed,,11,0,
201PBT189-2023-Largemouth Bass,201PBT189-2023-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2023,201PBT189,Bon Tempe Lake_BOG,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.037857,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.547156,ug/g ww,2023,2,37.95301,-122.60579,353,Passed,,14,0,
201PNL105-2008-Largemouth Bass,201PNL105-2008-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2008,201PNL105,Nicasio Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,79.6775,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.317795,ug/g ww,2008,2,38.07682,-122.73043,336.31,Passed,,16,0,
201PNL105-2017-Largemouth Bass,201PNL105-2017-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105,Nicasio Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.074545,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.285794,ug/g ww,2017,2,38.07682,-122.73043,332.73,Passed,,11,0,
201PSL093-2021-Black Crappie,201PSL093-2021-Black Crappie,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,80.337,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,0.484414,ug/g ww,2021,2,38.14734508,-122.7778744,225.9,Passed,,10,0,
201PSL093-2021-Bluegill,201PSL093-2021-Bluegill,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Bluegill,Lepomis macrochirus,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,74.81,%,"Mercury, Total",Average of 350 mm Length-Adjusted,0.415562,ug/g ww,2021,2,38.14734508,-122.7778744,117.6,Passed,,5,0,
201PSL093-2007-Largemouth Bass,201PSL093-2007-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,Statewide Lakes Sportfish Contamination Study 2007,201PSL093,Soulejoule Lake,L1,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals L1,78.20875,%,"Mercury, Total",Average of Individuals,0.9986,ug/g ww,2007,2,38.14734508,-122.7778744,305.69,Passed,,16,0,
201PSL093-2021-Largemouth Bass,201PSL093-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Moisture, Total",Average of Individuals,79.019286,%,"Mercury, Total",Average of Individuals,0.175,ug/g ww,2021,2,38.14734508,-122.7778744,330.79,Passed,,14,0,
201PSL093-2021-Largemouth Bass,201PSL093-2021-Largemouth Bass,T,Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Largemouth Bass,Micropterus salmoides,whole organism,"Skin on, Scales On",tissue,"Moisture, Total",Average of Individuals,76,%,"Mercury, Total",Average of 350 mm Length-Adjusted L1,1.034211,ug/g ww,2021,2,38.14734508,-122.7778744,117.67,Passed,,3,0,
